Unnamed: 0,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name,true_name,taxonomic_rank
115,,,,,,106765,Panopeidae,Panopeidae (crab),Panopeidae,Panopeidae,Panopeidae,PANSPP,crab,Panopeidae,Panopeidae,Family
116,atlantic mud crab,Panopeus herbstii,TRUE,TRUE,TRUE,158436,Panopeus herbstii,P. herbstii,P. herbstii,Panopeus herbstii,atlantic mud crab,PANHER,crab,Panopeus herbstii,Panopeus herbstii,Species
117,salt marsh mud crab,Panopeus obesus,FALSE,FALSE,TRUE,422085,Panopeus obesus,,,,,,,,Panopeus obesus,Species
118,oystershell mud crab,Panopeus simpsoni,FALSE,FALSE,TRUE,422088,Panopeus simpsoni,,,,,,,,Panopeus simpsoni,Species
119,southern flouder,Paralichthys lethostigma ,TRUE,TRUE,TRUE,158829,Paralichthys lethostigma,,,Paralichthys lethostigma,,,,Paralichthys lethostigma,Paralichthys lethostigma,Species
120,,,,,,106727,Penaeidae,Penaeidae,Penaeidae,Penaeidae,Penaeidae,PENSPP,shrimp,Penaeidae,Penaeidae,Family
121,white shrimp,Farfantepenaeus aztecus,TRUE,TRUE,TRUE,395176,Penaeus aztecus,,,,,,,,Penaeus (Farfantepenaeus) aztecus,Species
122,pink shrimp,Farfantepenaeus duorarum,TRUE,TRUE,FALSE,246391,Penaeus duorarum,,,,,,,,Penaeus (Farfantepenaeus) duorarum,Species
124,Green porcelain crab,Petrolisthes armatus,FALSE,FALSE,TRUE,396707,Petrolisthes armatus,,,,,,,,Petrolisthes armatus,Species
125,bruissed nassa,Phrontis vibex,FALSE,FALSE,TRUE,877061,Phrontis vibex,,,,,,,,Phrontis vibex,Species
126,,,,,,,Pinnotheres maculatus,,,Pinnotheres maculatus,,,,Pinnotheres maculatus,API request failed,Unknown
127,sailfin molly,Poecilia latipinna,FALSE,TRUE,TRUE,275348,Poecilia latipinna,P. latipinna,P. latipinna,Poecilia latipinna,sailfin molly,POELAT,fish,,Poecilia latipinna,Species
128,black drum,Pogonias cromis,FALSE,TRUE,TRUE,159333,Pogonias cromis,P. cromis,P. cromis,Pogonias cromis,black drum,POGCRO,fish,,Pogonias cromis,Species
129,,,,,,106763,Portunidae,Portunidae (megalopae),Portunidae,Portunidae,Portunidae,PORSPP,crab,Portunidae,Portunidae,Family
130,bighead searobin,Prionotus tribulus,TRUE,FALSE,FALSE,159577,Prionotus tribulus,,,Prionotus tribulus,,,,Prionotus tribulus,Prionotus tribulus,Species
